system:time_start,NDSI_Snow_Cover
"Feb 11, 2018",
"Feb 12, 2018",
"Feb 13, 2018",0
"Feb 14, 2018",
"Feb 15, 2018",0
"Feb 16, 2018",0
"Feb 17, 2018",0
"Feb 18, 2018",
"Feb 19, 2018",
"Feb 20, 2018",57
"Feb 21, 2018",59
"Feb 22, 2018",
"Feb 23, 2018",62
"Feb 24, 2018",68
"Feb 25, 2018",
"Feb 26, 2018",
"Feb 27, 2018",42
"Feb 28, 2018",58
"Mar 1, 2018",
"Mar 2, 2018",
"Mar 3, 2018",
"Mar 4, 2018",59
"Mar 5, 2018",78
"Mar 6, 2018",66
"Mar 7, 2018",
"Mar 8, 2018",72
"Mar 9, 2018",82
"Mar 10, 2018",
"Mar 11, 2018",73
"Mar 12, 2018",83
"Mar 13, 2018",
"Mar 14, 2018",
"Mar 15, 2018",
"Mar 16, 2018",
"Mar 17, 2018",
"Mar 18, 2018",72
"Mar 19, 2018",76
"Mar 20, 2018",
"Mar 21, 2018",
"Mar 22, 2018",
"Mar 23, 2018",86
"Mar 24, 2018",
"Mar 25, 2018",
"Mar 26, 2018",73
"Mar 27, 2018",71
"Mar 28, 2018",88
"Mar 29, 2018",
"Mar 30, 2018",86
"Mar 31, 2018",
"Apr 1, 2018",
"Apr 2, 2018",67
"Apr 3, 2018",54
"Apr 4, 2018",
"Apr 5, 2018",
"Apr 6, 2018",
"Apr 7, 2018",
"Apr 8, 2018",0
"Apr 9, 2018",
"Apr 10, 2018",
"Apr 11, 2018",
"Apr 12, 2018",47
"Apr 13, 2018",0
"Apr 14, 2018",0
"Apr 15, 2018",0
"Apr 16, 2018",
"Apr 17, 2018",73
"Apr 18, 2018",
"Apr 19, 2018",
"Apr 20, 2018",0
"Apr 21, 2018",0
"Apr 22, 2018",0
"Apr 23, 2018",0
"Apr 24, 2018",0
"Apr 25, 2018",0
"Apr 26, 2018",0
"Apr 27, 2018",0
"Apr 28, 2018",0
"Apr 29, 2018",
"Apr 30, 2018",
"May 1, 2018",
"May 2, 2018",0
"May 3, 2018",0
"May 4, 2018",0
"May 5, 2018",
"May 6, 2018",0
"May 7, 2018",0
"May 8, 2018",0
"May 9, 2018",0
"May 10, 2018",0
"May 11, 2018",0
"May 12, 2018",0
"May 13, 2018",
"May 14, 2018",
"May 15, 2018",
"May 16, 2018",
"May 17, 2018",0
"May 18, 2018",
"May 19, 2018",
"May 20, 2018",
"May 21, 2018",
"May 22, 2018",
"May 23, 2018",
"May 24, 2018",0
"May 25, 2018",
"May 26, 2018",
"May 27, 2018",0
"May 28, 2018",0
"May 29, 2018",0
"May 30, 2018",0
"May 31, 2018",0
"Jun 1, 2018",0
"Jun 2, 2018",0
"Jun 3, 2018",0
"Jun 4, 2018",0
"Jun 5, 2018",0
"Jun 6, 2018",0
"Jun 7, 2018",0
"Jun 8, 2018",0
"Jun 9, 2018",0
"Jun 10, 2018",0
"Jun 11, 2018",0
"Jun 12, 2018",0
"Jun 13, 2018",0
"Jun 14, 2018",0
"Jun 15, 2018",0
"Jun 16, 2018",0
"Jun 17, 2018",0
"Jun 18, 2018",0
"Jun 19, 2018",0
"Jun 20, 2018",0
"Jun 21, 2018",0
"Jun 22, 2018",0
"Jun 23, 2018",0
"Jun 24, 2018",0
"Jun 25, 2018",0
"Jun 26, 2018",0
"Jun 27, 2018",0
"Jun 28, 2018",0
"Jun 29, 2018",0
"Jun 30, 2018",0
"Jul 1, 2018",0
"Jul 2, 2018",0
"Jul 3, 2018",0
"Jul 4, 2018",0
"Jul 5, 2018",0
"Jul 6, 2018",0
"Jul 7, 2018",0
"Jul 8, 2018",0
"Jul 9, 2018",0
"Jul 10, 2018",0
"Jul 11, 2018",0
"Jul 12, 2018",
"Jul 13, 2018",
"Jul 14, 2018",0
"Jul 15, 2018",0
"Jul 16, 2018",13
"Jul 17, 2018",0
"Jul 18, 2018",0
"Jul 19, 2018",0
"Jul 20, 2018",0
"Jul 21, 2018",25
"Jul 22, 2018",0
"Jul 23, 2018",0
"Jul 24, 2018",0
"Jul 25, 2018",0
"Jul 26, 2018",0
"Jul 27, 2018",0
"Jul 28, 2018",24
"Jul 29, 2018",0
"Jul 30, 2018",
"Jul 31, 2018",0
"Aug 1, 2018",
"Aug 2, 2018",0
"Aug 3, 2018",27
"Aug 4, 2018",0
"Aug 5, 2018",0
"Aug 6, 2018",25
"Aug 7, 2018",0
"Aug 8, 2018",0
"Aug 9, 2018",0
"Aug 10, 2018",0
"Aug 11, 2018",0
"Aug 12, 2018",0
"Aug 13, 2018",0
"Aug 14, 2018",0
"Aug 15, 2018",0
"Aug 16, 2018",0
"Aug 17, 2018",0
"Aug 18, 2018",0
"Aug 19, 2018",0
"Aug 20, 2018",0
"Aug 21, 2018",0
"Aug 22, 2018",0
"Aug 23, 2018",0
"Aug 24, 2018",0
"Aug 25, 2018",0
"Aug 26, 2018",0
"Aug 27, 2018",0
"Aug 28, 2018",0
"Aug 29, 2018",0
"Aug 30, 2018",
"Aug 31, 2018",0
"Sep 1, 2018",0
"Sep 2, 2018",0
"Sep 3, 2018",0
"Sep 4, 2018",0
"Sep 5, 2018",0
"Sep 6, 2018",0
"Sep 7, 2018",0
"Sep 8, 2018",0
"Sep 9, 2018",0
"Sep 10, 2018",0
"Sep 11, 2018",0
"Sep 12, 2018",0
"Sep 13, 2018",
"Sep 14, 2018",0
"Sep 15, 2018",0
"Sep 16, 2018",0
"Sep 17, 2018",0
"Sep 18, 2018",0
"Sep 19, 2018",0
"Sep 20, 2018",0
"Sep 21, 2018",0
"Sep 22, 2018",0
"Sep 23, 2018",0
"Sep 24, 2018",0
"Sep 25, 2018",0
"Sep 26, 2018",0
"Sep 27, 2018",0
"Sep 28, 2018",
"Sep 29, 2018",
"Sep 30, 2018",0
"Oct 1, 2018",0
"Oct 2, 2018",
"Oct 3, 2018",
"Oct 4, 2018",0
"Oct 5, 2018",0
"Oct 6, 2018",0
"Oct 7, 2018",0
"Oct 8, 2018",
"Oct 9, 2018",0
"Oct 10, 2018",0
"Oct 11, 2018",0
"Oct 12, 2018",0
"Oct 13, 2018",0
"Oct 14, 2018",0
"Oct 15, 2018",0
"Oct 16, 2018",0
"Oct 17, 2018",0
"Oct 18, 2018",0
"Oct 19, 2018",0
"Oct 20, 2018",0
"Oct 21, 2018",0
"Oct 22, 2018",0
"Oct 23, 2018",0
"Oct 24, 2018",0
"Oct 25, 2018",0
"Oct 26, 2018",0
"Oct 27, 2018",0
"Oct 28, 2018",0
"Oct 29, 2018",
"Oct 30, 2018",0
"Oct 31, 2018",0
"Nov 1, 2018",
"Nov 2, 2018",0
"Nov 3, 2018",
"Nov 4, 2018",
"Nov 5, 2018",0
"Nov 6, 2018",0
"Nov 7, 2018",0
"Nov 8, 2018",0
"Nov 9, 2018",0
"Nov 10, 2018",0
"Nov 11, 2018",0
"Nov 12, 2018",0
"Nov 13, 2018",
"Nov 14, 2018",0
"Nov 15, 2018",0
"Nov 16, 2018",0
"Nov 17, 2018",0
"Nov 18, 2018",0
"Nov 19, 2018",
"Nov 20, 2018",0
"Nov 21, 2018",
"Nov 22, 2018",52
"Nov 23, 2018",
"Nov 24, 2018",70
"Nov 25, 2018",84
"Nov 26, 2018",
"Nov 27, 2018",
"Nov 28, 2018",
"Nov 29, 2018",
"Nov 30, 2018",
"Dec 1, 2018",
"Dec 2, 2018",72
"Dec 3, 2018",68
"Dec 4, 2018",
"Dec 5, 2018",
"Dec 6, 2018",70
"Dec 7, 2018",65
"Dec 8, 2018",72
"Dec 9, 2018",
"Dec 10, 2018",
"Dec 11, 2018",86
"Dec 12, 2018",70
"Dec 13, 2018",80
"Dec 14, 2018",
"Dec 15, 2018",66
"Dec 16, 2018",
"Dec 17, 2018",
"Dec 18, 2018",84
"Dec 19, 2018",
"Dec 20, 2018",
"Dec 21, 2018",
"Dec 22, 2018",67
"Dec 23, 2018",
"Dec 24, 2018",
"Dec 25, 2018",
"Dec 26, 2018",
"Dec 27, 2018",75
"Dec 28, 2018",53
"Dec 29, 2018",66
"Dec 30, 2018",63
"Dec 31, 2018",58
"Jan 1, 2019",66
"Jan 2, 2019",
"Jan 3, 2019",72
"Jan 4, 2019",52
"Jan 5, 2019",
"Jan 6, 2019",
"Jan 7, 2019",
"Jan 8, 2019",
"Jan 9, 2019",
"Jan 10, 2019",75
"Jan 11, 2019",
"Jan 12, 2019",82
"Jan 13, 2019",69
"Jan 14, 2019",
"Jan 15, 2019",
"Jan 16, 2019",
"Jan 17, 2019",
"Jan 18, 2019",
"Jan 19, 2019",
"Jan 20, 2019",
"Jan 21, 2019",72
"Jan 22, 2019",62
"Jan 23, 2019",75
